pitch,time,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,mfcc_41,mfcc_42,mfcc_43,mfcc_44,mfcc_45,mfcc_46,mfcc_47,mfcc_48,mfcc_49,mfcc_50,mfcc_51,mfcc_52,mfcc_53,mfcc_54,mfcc_55,mfcc_56,mfcc_57,mfcc_58,mfcc_59,mfcc_60,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12
1256.6069,0.9752380952380952,-206.99284,237.26636,3.2680132,-29.98646,-14.31731,-37.3691,-31.405052,8.627368,15.647682,-9.352919,-4.125338,7.9587383,5.6663675,15.357683,2.2212524,-23.643711,-7.9628596,-0.19615042,-16.96296,-3.2350101,8.589068,-0.9554916,-0.29608816,-4.591983,-3.257996,9.279246,0.7652583,-10.249779,-5.8175592,1.1253474,-0.15690917,-10.115205,-2.155701,10.897877,-2.9988642,-6.486291,5.9128394,-4.0363913,-7.658375,1.3920983,-5.161489,-2.0090947,2.6247444,-6.025318,-0.50299674,1.3354566,-2.0006723,2.6194577,-5.340859,-7.5223455,-2.1026404,-3.5778646,1.6813123,-2.598095,-7.7098775,-0.5525315,-7.3270288,-7.066709,5.641634,0.7112465,0.026748672,0.05325599,0.08796164,0.05556239,0.27731016,1.0,0.48168972,0.3288407,0.3228775,0.053640146,0.11965196,0.04997908
1312.6646,0.9868480725623583,-211.21448,236.36942,6.321515,-30.785072,-17.334402,-41.326572,-36.556007,3.8617015,10.52772,-11.519548,-3.591142,7.3722,6.1989727,14.884864,1.3043292,-22.53373,-9.550878,-0.41010082,-13.031963,-1.6720281,8.382845,-0.6281774,-0.40342683,-6.282896,-6.536067,8.671343,4.8297467,-5.4337564,-2.576277,3.4105883,-0.30197042,-11.528661,-2.0024362,10.18009,-3.87606,-5.828609,6.5955043,-1.8697443,-5.94489,1.8709419,-3.4763043,-1.5711688,3.6037846,-3.306632,-0.40564895,0.04120779,-3.8703413,-0.25666952,-5.054339,-3.857654,0.7563113,-2.6558495,2.6226368,-0.58098143,-7.394974,-3.0486674,-7.6724687,-5.8637266,2.956268,-2.5092092,0.030352049,0.048182014,0.13820821,0.18759926,0.38386768,1.0,0.54251903,0.58814687,0.6143666,0.12679411,0.1782546,0.08745952
1339.1511,0.9984580498866213,-211.06395,237.5354,4.3352013,-36.248043,-17.035204,-36.62877,-35.806206,1.4583478,9.322598,-12.5276575,-5.7006264,7.5402036,8.431232,15.499825,2.7061346,-19.709797,-8.966478,-0.20391336,-12.6037655,-3.484732,6.063356,-2.3797724,-1.3917456,-5.927663,-7.1833334,5.7686353,1.9550772,-6.894553,-4.2050166,2.499785,0.9590485,-11.470472,-2.8694854,10.938364,-4.954505,-11.165825,1.308162,-3.111868,-6.339033,1.3376348,-2.3877404,-3.54418,-0.20582125,-4.7272096,-2.7893546,-2.1108599,-3.0952764,0.763414,-5.856599,-5.5265026,0.052736163,-4.712982,-0.85320777,-1.6310594,-7.8808146,-3.8887815,-6.9735193,-6.5870094,0.37910128,-1.9126662,0.14311554,0.113832235,0.113723725,0.43683174,0.7954658,0.61383224,0.74557483,1.0,0.59698206,0.16804683,0.10359866,0.09824758
1321.8889,1.0100680272108844,-208.89578,237.29152,-1.3874013,-39.11586,-12.086038,-30.525753,-33.639137,1.9005592,12.098771,-11.1680765,-6.884646,8.287712,8.488455,14.7146015,2.8449488,-19.263777,-8.408695,-1.450475,-13.152953,-2.167441,7.710534,-0.5213563,-1.6033797,-6.977846,-9.527195,1.2757847,-0.2547564,-7.177867,-4.2939606,2.9672418,2.1745248,-10.567075,-4.811411,8.280345,-6.757083,-12.192152,2.1667178,-3.4617562,-7.92195,2.1881096,-0.7749909,-3.8921542,-1.0663655,-4.401336,-3.792304,-5.4323535,-4.6933713,1.4943125,-5.6248436,-4.832691,1.999296,-4.456581,-3.360992,-5.499159,-11.388119,-5.380987,-6.5266767,-3.6962922,6.734441,6.6664286,0.10308218,0.20098317,0.10405983,0.17037544,0.48147014,0.5991117,0.17620237,0.7329107,1.0,0.18212809,0.04411157,0.04904067
1239.3765,1.0216780045351475,-205.05351,239.61191,-4.7696433,-41.42447,-10.173544,-31.557833,-36.464367,0.69076693,10.228385,-10.835579,-5.84699,5.4717407,3.8465228,9.71023,0.6492021,-18.770792,-9.832227,-3.6915388,-16.195133,-4.248003,9.392314,-0.18906909,-3.6381092,-8.210089,-10.271939,0.08515018,-1.5782292,-6.6122894,-3.9221172,0.77056307,-0.5340064,-12.763646,-5.731965,7.0681744,-8.514195,-12.634759,1.4989562,-2.6020422,-6.585066,1.111919,-1.8894508,-7.6082153,-5.537143,-4.6757216,-2.9860797,-3.2876198,-2.1616986,2.4856913,-4.761862,-6.8415747,-0.6603465,-5.8075995,-5.6105566,-3.6149952,-5.026886,1.605368,3.2342243,7.845731,15.331963,8.886824,0.050410036,0.20068695,0.23515859,0.14668326,0.26835647,1.0,0.5972082,0.23365982,0.690781,0.45793784,0.061769944,0.034428984
1278.318,1.0332879818594105,-210.40352,235.48334,-5.1911883,-43.93495,-12.994352,-32.751522,-40.881073,-3.5345225,10.0160675,-12.157217,-8.572928,3.7664866,0.71359545,4.7565413,-1.3251796,-16.870428,-9.359579,-5.6336074,-19.683054,-10.406588,4.393895,-2.9481606,-7.496669,-9.7433605,-7.3065953,3.1360588,-1.7210008,-10.109066,-8.01409,-1.8778782,-0.8334936,-11.56123,-5.9627523,7.6270485,-8.638105,-16.934082,1.0689371,2.6174989,-3.3130655,1.1328468,-4.041862,-11.66645,-10.176673,-5.2862573,0.8187142,-2.518608,-5.1371965,-0.99288964,-8.222974,-8.531416,-0.25496122,-2.881016,1.5622299,8.451977,9.349014,14.072919,12.735598,11.852749,12.052351,2.5030901,0.07807809,0.13053371,0.38181683,0.3839128,0.2131725,0.61015135,1.0,0.41526496,0.17006367,0.36013114,0.18043043,0.041176166
1344.4108,1.0448979591836736,-215.70177,232.30905,-0.21810281,-45.79713,-18.658173,-24.292023,-37.134712,-7.65489,12.935516,-12.526001,-13.444141,1.3477834,0.027234968,4.6226926,-1.1345147,-13.315141,-5.7558146,-3.9039862,-17.022442,-9.720015,4.0073204,-1.2370611,-5.7148495,-10.467431,-7.4743104,4.7568483,-4.1620603,-12.073416,-4.942757,-0.8729084,-1.6344129,-13.14665,-9.915006,5.6177936,-9.236436,-18.113934,0.20894825,-1.7608976,-9.956106,-0.697236,-2.1416755,-7.781307,-5.226962,-2.8353567,1.9546157,-5.8051357,-11.075964,-2.473927,-11.348329,-7.8604503,10.654431,7.8187,13.502083,20.849274,15.611225,13.36488,3.354611,2.7613955,5.393808,-4.206981,0.06909359,0.14425603,0.33363187,1.0,0.48000503,0.111158796,0.35951775,0.94084907,0.29764348,0.09848844,0.2953767,0.12056225
1259.0787,1.0565079365079366,-219.99239,225.41943,3.6167464,-43.946136,-23.716595,-16.221691,-33.612167,-10.152769,13.460111,-11.094711,-11.436041,0.16249377,3.9687726,4.034333,-5.4426117,-9.760981,-8.020405,-6.873856,-17.819918,-11.479221,4.8386264,-2.8265703,-7.4155436,-15.858612,-12.321199,2.7659254,-9.5201435,-9.092251,-0.692062,-2.2528281,-0.5414007,-13.315134,-10.18449,5.713613,-8.487284,-17.619696,-1.9482446,-4.364518,-14.73336,-2.6958954,-3.3865361,-8.978128,-0.68195593,-4.231749,-3.4783525,-8.050599,-14.746475,-3.9873285,-9.109536,-1.3259284,19.497248,16.97884,22.051197,19.76269,7.0142393,2.0346699,-8.905055,-1.2511278,6.859209,-3.1890225,0.040401097,0.13614522,0.16043916,0.7400695,0.6687985,0.095430456,0.12654643,1.0,0.78934693,0.058272917,0.18965648,0.18294539
1290.1102,1.0681179138321995,-226.2124,221.83295,10.476278,-38.3153,-27.746445,-15.39323,-25.82394,-9.365636,12.435379,-6.8265295,-10.315627,0.79135066,9.529169,4.6339803,-8.772194,-10.849941,-11.755194,-7.5715313,-13.994447,-12.727588,6.3175154,4.710428,-6.407284,-16.924622,-6.1420927,5.05802,-14.089319,-6.8453717,2.9943752,-5.2941575,-0.47865862,-11.070631,-11.013113,5.1056237,-8.813913,-17.001013,0.6500349,0.30890813,-9.497047,-0.6319496,-5.514541,-13.311935,-2.402416,-7.57977,-10.047083,-6.2752333,-10.132084,0.6608463,5.1993165,11.113007,26.080105,24.938297,21.845116,10.422731,-1.4048631,-2.5687442,-8.224762,2.942057,9.161131,-2.6160662,0.05861968,0.086894706,0.110551104,0.3031285,0.7430059,0.23106578,0.06043774,0.5820446,1.0,0.11469824,0.062164,0.1508439
1305.4243,1.0797278911564625,-227.27768,219.11545,8.425638,-32.17468,-24.45327,-18.892403,-19.694914,-5.509198,7.5991864,-8.49174,-8.772653,1.9314399,6.5512133,4.7073874,-7.846262,-15.243755,-9.806671,-3.5455594,-14.563111,-12.57584,7.3514,5.2015505,-7.2821856,-15.000482,-4.0181,3.3784974,-14.011098,-6.716444,1.0668088,-5.170521,3.2516906,-9.503982,-12.424908,7.0366163,-10.768328,-21.965662,3.3202386,3.4120793,-10.3302765,0.28752112,-3.0330977,-15.198875,-8.122617,-9.6548605,-9.613351,-5.7377934,-6.820591,7.5056357,12.482027,13.705206,24.59344,21.001892,15.462608,4.3785,-3.4928818,0.098217815,-6.726881,1.6748321,8.419388,-5.098774,0.10627767,0.050805915,0.09514608,0.20821561,0.9499629,0.44576713,0.06641279,0.27506983,1.0,0.24715297,0.05690498,0.20606375
1320.6864,1.0913378684807256,-226.83846,217.19568,4.361865,-33.682846,-27.438976,-25.535378,-21.421711,-5.546296,2.174044,-12.966581,-10.131673,0.60211116,4.2222476,0.8179878,-10.194107,-15.338723,-10.383278,-4.4306164,-14.402878,-13.305494,3.5314336,1.0080045,-10.914583,-18.07336,-4.832143,3.5251672,-12.793481,-7.1237383,-3.6826105,-8.295544,3.2169123,-11.817049,-16.492577,6.5063086,-9.947903,-23.557564,3.1262875,3.020271,-13.067843,-1.3535402,-3.5605068,-15.95985,-11.605484,-12.893174,-7.808418,-0.8470988,1.2080767,16.678787,20.050459,17.629433,21.20967,14.068279,8.307572,-0.6533346,-2.0993743,5.5550632,-2.042802,4.25714,10.568989,-6.79994,0.23228472,0.05055888,0.06753309,0.151232,0.9977633,0.9791119,0.15494026,0.11036055,1.0,0.61235255,0.061202317,0.24271238
1346.7063,1.1029478458049886,-243.35754,211.15642,13.490673,-34.00601,-34.79267,-29.958508,-20.893097,-7.7646103,-5.8560696,-14.955843,-5.878026,2.1590936,2.8868046,-5.657791,-14.612965,-10.104698,-13.343559,-14.447568,-14.066603,-12.204155,1.9113545,-1.5839363,-17.43866,-17.493013,-1.6129973,-1.0697374,-17.201843,-8.96637,-6.871153,-12.217054,0.9040736,-12.506067,-18.529766,1.5678554,-14.502426,-26.644348,-2.3927593,1.2619746,-11.609247,-7.072707,-7.286846,-13.493961,-11.269752,-15.701015,-11.229158,3.9713736,10.542903,21.393291,25.764606,20.647724,17.636866,8.380329,0.464581,-6.0651774,-3.400893,4.496109,-1.7898834,4.9445505,7.831931,-11.787825,0.2059734,0.0446219,0.03189623,0.07032489,0.5743865,1.0,0.16743428,0.059537537,0.6150262,0.6200615,0.039350267,0.10414096
1194.662,1.1145578231292517,-243.78076,212.99619,15.860443,-33.256218,-33.30909,-29.566362,-20.642904,-4.673257,-3.172375,-13.985384,-4.1371107,1.7620356,2.3903368,-1.1042485,-8.845703,-5.491384,-12.388216,-15.214455,-12.576556,-13.72772,1.9037265,0.4425938,-18.660702,-15.432236,-1.4025899,-3.9102724,-15.096981,-5.966426,-4.179432,-12.546352,-2.0412545,-10.377789,-15.702429,2.2062247,-12.307625,-24.647198,-1.4237914,2.8230014,-11.913248,-9.686904,-8.472372,-14.775384,-11.880148,-12.05026,-5.627607,9.609067,15.262998,26.71925,30.899872,19.486614,10.607866,-0.585181,-4.6996546,-3.705691,0.46787634,6.019266,-1.3079083,2.8251557,3.1161547,-13.379361,0.19398643,0.06609021,0.02499903,0.04496247,0.30473793,1.0,0.27645513,0.029205687,0.18677133,0.4157413,0.048893575,0.056620926
1212.8097,1.1261678004535147,-245.31992,209.58458,16.071922,-28.429781,-29.349178,-27.922808,-24.560844,-8.502155,0.27287954,-9.696306,-5.8714876,-3.362435,0.11965656,0.07412493,-7.1406107,-5.7101216,-11.709656,-12.15686,-14.29048,-16.484482,1.2305553,-0.91688716,-15.105312,-15.735263,-7.0943737,-2.2039993,-11.938445,-2.801325,-1.2383875,-13.779654,-2.120337,-12.744316,-15.835426,7.587203,-12.213227,-23.331467,4.6162667,5.80231,-11.521528,-10.477842,-10.320269,-20.11523,-15.798156,-7.95641,-0.8996762,10.579896,15.549232,29.9287,33.51043,15.961016,7.6242194,-2.957942,-8.082855,-2.3073106,3.2994804,9.398563,-1.1938665,-5.1627913,-1.0691257,-10.159786,0.1876668,0.08545092,0.015534035,0.034992892,0.2512783,1.0,0.33866522,0.023598433,0.08162825,0.29630175,0.057764698,0.039323717
1223.0032,1.1377777777777778,-243.82083,212.67804,17.947914,-29.926088,-31.79805,-27.019436,-21.166397,-8.363376,1.7685577,-6.487996,-7.2312593,-2.4428544,5.2030344,4.7826524,-5.291416,-10.681278,-15.740613,-9.515663,-10.132118,-13.464666,1.3084246,1.1208125,-10.307767,-15.496407,-6.764202,-0.45165056,-12.947979,-2.0970728,0.66794276,-11.638839,1.6702819,-11.216545,-14.71906,10.217802,-10.038488,-20.213089,3.765962,-0.69577813,-13.858894,-7.523118,-8.2303295,-19.65586,-14.160758,-3.5679688,4.5022855,17.957727,23.631958,30.361233,25.843714,8.369527,4.774468,-2.1035497,-5.499872,1.4011208,5.1975594,7.950175,-4.8907266,-9.524316,-2.346069,-8.6419735,0.23381704,0.16070625,0.024319058,0.064131126,0.14428431,1.0,0.6064837,0.042006623,0.05076233,0.2575749,0.08832839,0.03215335
1218.875,1.1493877551020408,-245.25038,213.47662,17.8373,-32.67541,-30.68194,-22.608692,-17.516605,-7.3047934,5.7152796,-1.0451512,-8.934896,-4.926974,9.2808485,13.806736,1.0950462,-12.720721,-15.107878,-2.040175,-5.8110538,-14.584118,-1.7816339,1.7004483,-6.783185,-13.36934,-2.771639,4.3260555,-11.338713,-2.1602135,1.6780581,-9.3518915,2.244794,-11.196896,-13.650049,10.365968,-9.13419,-18.476696,2.8968773,-3.98419,-16.351673,-8.285815,-8.5149765,-19.120548,-13.764341,-3.6127746,5.447338,18.538696,25.070023,34.204407,29.705704,10.985201,5.2893314,-3.3689716,-6.782175,0.6900432,4.44256,7.495601,-2.6686966,-7.7072315,-5.3993983,-13.746281,0.2146266,0.13996996,0.028138323,0.07938867,0.14040586,1.0,0.6242354,0.036394965,0.028894853,0.17531213,0.061469894,0.032452773
1349.831,1.1609977324263039,-238.14145,219.66046,16.199448,-40.19456,-32.90736,-18.818253,-23.446438,-13.418214,9.723684,-3.182209,-14.373414,-2.937337,13.804752,15.171408,-5.3304,-16.6082,-9.9069195,-1.4883947,-8.852622,-11.62896,2.8364255,1.3150668,-7.6214614,-9.539599,-1.0465645,6.462671,-7.3136187,-4.6929913,-0.10323432,-10.004826,-1.223026,-9.554264,-11.733208,10.374234,-8.482638,-20.291473,2.6109297,-2.233761,-12.330939,-2.967229,-6.2414036,-16.16078,-13.839546,-9.06468,-1.3795656,6.2732797,13.283439,30.137974,30.28912,17.190386,14.752758,4.293713,-2.09523,0.5789511,0.12159109,4.5071764,2.0462143,2.6055064,1.9563584,-12.212421,0.12882583,0.046857443,0.020595586,0.056524772,0.35952988,1.0,0.2859514,0.020412754,0.09713311,0.16493484,0.02423063,0.05186355
1317.4646,1.172607709750567,-229.07088,227.64496,13.181042,-44.044804,-27.830896,-17.272434,-29.123556,-12.958284,12.094137,-9.821251,-18.032284,3.019916,15.726207,9.441286,-10.710518,-16.255459,-9.647565,-7.1703644,-10.489166,-8.8872795,1.810343,0.17126918,-6.937228,-9.470247,-3.4770718,6.855034,-2.8344274,-6.1692214,-1.5246832,-7.7102346,-2.675791,-8.500471,-9.460483,8.693186,-8.570633,-19.163921,2.5841064,-1.6620122,-8.258037,2.4513102,-2.6233647,-11.869986,-11.239281,-9.431747,-5.2374787,-4.807747,-1.5130723,13.193888,15.671764,15.599548,23.145176,14.178119,6.7556214,5.572995,-1.2410711,-0.3967557,0.13105398,6.3255587,9.225788,-5.948543,0.07262953,0.017954983,0.029679414,0.17527744,1.0,0.9780739,0.12664779,0.09135303,0.37718266,0.17876789,0.029178947,0.10233162
